ticker,asset_type
MARUTI.NS,EQUITY
MASTEK.NS,EQUITY
MAXHEALTH.NS,EQUITY
MAZDOCK.NS,EQUITY
MCX.NS,EQUITY
MEDANTA.NS,EQUITY
MEDIASSIST.NS,EQUITY
MEDPLUS.NS,EQUITY
METROPOLIS.NS,EQUITY
MFSL.NS,EQUITY
MGL.NS,EQUITY
MINDACORP.NS,EQUITY
MOTHERSON.NS,EQUITY
MOTILALOFS.NS,EQUITY
MPHASIS.NS,EQUITY
MRF.NS,EQUITY
MRPL.NS,EQUITY
MSUMI.NS,EQUITY
MUTHOOTFIN.NS,EQUITY
NAM-INDIA.NS,EQUITY
NATCOPHARM.NS,EQUITY
NATIONALUM.NS,EQUITY
NAVINFLUOR.NS,EQUITY
NAZARA.NS,EQUITY
NCC.NS,EQUITY
NESTLEIND.NS,EQUITY
NETWORK18.NS,EQUITY
NEWGEN.NS,EQUITY
NH.NS,EQUITY
NHPC.NS,EQUITY
NIACL.NS,EQUITY
NIVABUPA.NS,EQUITY
NLCINDIA.NS,EQUITY
NMDC.NS,EQUITY
NSLNISP.NS,EQUITY
NTPC.NS,EQUITY
NTPCGREEN.NS,EQUITY
NUVAMA.NS,EQUITY
NUVOCO.NS,EQUITY
NYKAA.NS,EQUITY
OBEROIRLTY.NS,EQUITY
OFSS.NS,EQUITY
OIL.NS,EQUITY
OLAELEC.NS,EQUITY
OLECTRA.NS,EQUITY
ONGC.NS,EQUITY
PARADEEP.NS,EQUITY
PAYTM.NS,EQUITY
PCBL.NS,EQUITY
PEL.NS,EQUITY
PERSISTENT.NS,EQUITY
PETRONET.NS,EQUITY
PFC.NS,EQUITY
PFIZER.NS,EQUITY
PGEL.NS,EQUITY
PGHH.NS,EQUITY
PHOENIXLTD.NS,EQUITY
PIDILITIND.NS,EQUITY
PIIND.NS,EQUITY
PNB.NS,EQUITY
PNBHOUSING.NS,EQUITY
PNCINFRA.NS,EQUITY
POLICYBZR.NS,EQUITY
POLYCAB.NS,EQUITY
POLYMED.NS,EQUITY
POONAWALLA.NS,EQUITY
POWERGRID.NS,EQUITY
POWERINDIA.NS,EQUITY
PPLPHARMA.NS,EQUITY
PRESTIGE.NS,EQUITY
PRSMJOHNSN.NS,EQUITY
PVRINOX.NS,EQUITY
QUESS.NS,EQUITY
RADICO.NS,EQUITY
RAILTEL.NS,EQUITY
RAINBOW.NS,EQUITY
RALLIS.NS,EQUITY
RAMCOCEM.NS,EQUITY
RATNAMANI.NS,EQUITY
RAYMOND.NS,EQUITY
RBLBANK.NS,EQUITY
RCF.NS,EQUITY
RCOMM.NS,EQUITY
RECLTD.NS,EQUITY
REDINGTON.NS,EQUITY
RELAXO.NS,EQUITY
RELIANCE.NS,EQUITY
RENUKA.NS,EQUITY
RESPONIND.NS,EQUITY
RHIM.NS,EQUITY
RITES.NS,EQUITY
RKFORGE.NS,EQUITY
RKSWAMY.NS,EQUITY
ROUTE.NS,EQUITY
RTNINDIA.NS,EQUITY
RVNL.NS,EQUITY
SAFARI.NS,EQUITY
SAGILITY.NS,EQUITY
SAIL.NS,EQUITY
SAMMAANCAP.NS,EQUITY
SANOFI.NS,EQUITY
SANSTAR.NS,EQUITY
SAPPHIRE.NS,EQUITY
SAREGAMA.NS,EQUITY
SBCL.NS,EQUITY
SBFC.NS,EQUITY
SBICARD.NS,EQUITY
SBILIFE.NS,EQUITY
SBIN.NS,EQUITY
SCHAEFFLER.NS,EQUITY
SCHNEIDER.NS,EQUITY
SCI.NS,EQUITY
SEQUENT.NS,EQUITY
SHARDACROP.NS,EQUITY
SHOPERSTOP.NS,EQUITY
SHREECEM.NS,EQUITY
SHRIRAMFIN.NS,EQUITY
SHYAMMETL.NS,EQUITY
SIEMENS.NS,EQUITY
SIGNATURE.NS,EQUITY
SJVN.NS,EQUITY
SKFINDIA.NS,EQUITY
SOBHA.NS,EQUITY
SOLARINDS.NS,EQUITY
SONACOMS.NS,EQUITY
SONATSOFTW.NS,EQUITY
SPARC.NS,EQUITY
SRF.NS,EQUITY
STARHEALTH.NS,EQUITY
STLTECH.NS,EQUITY
SUMICHEM.NS,EQUITY
SUNDARMFIN.NS,EQUITY
SUNDRMFAST.NS,EQUITY
SUNPHARMA.NS,EQUITY
SUNTV.NS,EQUITY
SUPREMEIND.NS,EQUITY
SUVENPHAR.NS,EQUITY
SUZLON.NS,EQUITY
SWANENERGY.NS,EQUITY
SWIGGY.NS,EQUITY
SWSOLAR.NS,EQUITY
SYNGENE.NS,EQUITY
SYRMA.NS,EQUITY
TANLA.NS,EQUITY
TATACHEM.NS,EQUITY
TATACOMM.NS,EQUITY
TATACONSUM.NS,EQUITY
TATAELXSI.NS,EQUITY
TATAINVEST.NS,EQUITY
TATAMOTORS.NS,EQUITY
TATAPOWER.NS,EQUITY
TATASTEEL.NS,EQUITY
TATATECH.NS,EQUITY
TCS.NS,EQUITY
TEAMLEASE.NS,EQUITY
TECHM.NS,EQUITY
TEJASNET.NS,EQUITY
THERMAX.NS,EQUITY
TIINDIA.NS,EQUITY
TIMKEN.NS,EQUITY
TITAGARH.NS,EQUITY
TITAN.NS,EQUITY
TMB.NS,EQUITY
TORNTPHARM.NS,EQUITY
TORNTPOWER.NS,EQUITY
TRENT.NS,EQUITY
TRIDENT.NS,EQUITY
TRITURBINE.NS,EQUITY
TRIVENI.NS,EQUITY
TTML.NS,EQUITY
TV18BRDCST.NS,EQUITY
TVSMOTOR.NS,EQUITY
UBL.NS,EQUITY
UCOBANK.NS,EQUITY
UFLEX.NS,EQUITY
UJJIVANSFB.NS,EQUITY
ULTRACEMCO.NS,EQUITY
UNIONBANK.NS,EQUITY
UNITDSPR.NS,EQUITY
UNOMINDA.NS,EQUITY
UPL.NS,EQUITY
USHAMART.NS,EQUITY
UTIAMC.NS,EQUITY
VAIBHAVGBL.NS,EQUITY
VARROC.NS,EQUITY
VBL.NS,EQUITY
VEDL.NS,EQUITY
VGUARD.NS,EQUITY
VIJAYA.NS,EQUITY
VINATIORGA.NS,EQUITY
VIPIND.NS,EQUITY
VMART.NS,EQUITY
VOLTAS.NS,EQUITY
VSTIND.NS,EQUITY
VTL.NS,EQUITY
WAAREEENER.NS,EQUITY
WELCORP.NS,EQUITY
WELENT.NS,EQUITY
WELSPUNLIV.NS,EQUITY
WESTLIFE.NS,EQUITY
WHIRLPOOL.NS,EQUITY
WIPRO.NS,EQUITY
WOCKPHARMA.NS,EQUITY
YESBANK.NS,EQUITY
ZEEL.NS,EQUITY
ZENSARTECH.NS,EQUITY
ZFCVINDIA.NS,EQUITY
ZYDUSLIFE.NS,EQUITY
